,Tweet,Suicide,clean_text
0,making some lunch,Not Suicide post,making lunch
1,@Alexia You want his money.,Not Suicide post,want money
2,@dizzyhrvy that crap took me forever to put together. iâm going to go sleep for DAYS,Potential Suicide post ,crap took forever put together iâ going go sleep days
3,@jnaylor #kiwitweets Hey Jer! Since when did you start twittering?,Not Suicide post,kiwitweets hey jer since start twittering
4,Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,Not Suicide post,trying quot delicious library 2 quot mixed results bar code thought wanted add sport bra instead drill cool app tho
5,"@ValenValdez Oh, that's good to hear. But is it over already? Or you'll continue it after the Holy week?",Not Suicide post,oh good hear already continue holy week
6,@mcm180 u've got a list for fellow #hotties? You gonna have to share that one Amigo!,Not Suicide post,u got list fellow hotties gonna share one amigo
7,"@jakepaul @jamescharles @LoganPaul Just because shane made a Series on you Doesnt mean people take you seriously, yâ¦ https://t.co/D5rA0nua0U",Potential Suicide post ,shane made series doesnt mean people take seriously yâ
8,time for some warsaw beer garden chilling,Not Suicide post,time warsaw beer garden chilling
9,I hate my life lmao I hope I die soon or sumn I'm too tired of everything,Potential Suicide post ,hate life lmao hope die soon sumn tired everything
10,"Everything your lover does for you is for her survival, everything your mother does for you is for your survival.",Not Suicide post,everything lover survival everything mother survival
11,"There is a stray cat on campus that looks like Garfield. The students are always feeding him, so he is very fat. Like me.",Not Suicide post,stray cat campus looks like garfield students always feeding fat like
12,is on the go...,Not Suicide post,go
13,I have an awful habit of avoiding writing papers by watching Instagram live videos of the kids I used to nanny forâ¦ https://t.co/NpfZu06gwy,Potential Suicide post ,awful habit avoiding writing papers watching instagram live videos kids used nanny forâ
14,@rivensky Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,Not Suicide post,haha well anything file rest away delete
15,@Turbizzle Goooooood hwo're you?,Not Suicide post,goooooood hwo
16,"@AkwesiQuan,,RT @animeesay: I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone tâ¦",Potential Suicide post ,rt want say ill never active quite sure dont reason anymore anyways bye everyone tâ
17,Focus on opportunities more than you focus on money.,Not Suicide post,focus opportunities focus money
18,SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE https://t.co/WbVmmKzDDh,Potential Suicide post ,somebody please fucking kill im love
19,Iâm at the point of the semester where Iâm so tired of everything. I just want to roll over and die.,Potential Suicide post ,iâ point semester iâ tired everything want roll die
20,"@sadegsi,ger/rus/eng,I want to die so much, I dont want to be here anymore",Potential Suicide post ,ger rus eng want die much dont want anymore
21,"And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye ð­ð­ð­ð­ aâ¦ https://t.co/B4hM6MjQRe",Potential Suicide post ,hate fact true dojae surgery dojae endure pain alone without segye ð ð ð ð aâ
22,"RT @Soulwhisperer3: When you're tired of living your life, all you can do is close your eyes and go to sleep...",Potential Suicide post ,rt tired living life close eyes go sleep
23,i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post ,going kill right sorry feeling desperate
24,"@earlydetection enjoy I just can't get into it this season, but happy to know that you're getting your groove on.",Not Suicide post,enjoy get season happy know getting groove
25,@JohnsHopkins Bloodstain on the carpet? Ready to gooo! http://short.to/3uqb,Not Suicide post,bloodstain carpet ready gooo
26,Really fuckin want this portion of my life to be over.,Potential Suicide post ,really fuckin want portion life
27,I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food :@ Or I'll seriously eat you up!,Not Suicide post,hungry anyone timeline dare talk food seriously eat
28,Mom always used to want everyone home before dark – as though anything was out there at night that wasn't there during the day.,Not Suicide post,mom always used want everyone home dark though anything night day
29,@gailia I think you'll do whatever you want.,Not Suicide post,think whatever want
30,@domselinakyle that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better forâ¦ https://t.co/oAh2tUnbXt,Potential Suicide post ,sounds terrible dad still lived w hope gets better forâ
31,"@garry1bowie No, just one shortly before the soap awards judging starts....",Not Suicide post,one shortly soap awards judging starts
32,"@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays,",Not Suicide post,conversation dependent seem internet mobile phones nowadays
33,"@jrkgirlnla Oh yes, I was reading that one",Not Suicide post,oh yes reading one
34,My life is so miserable and it's not getting better.,Potential Suicide post ,life miserable getting better
35,"@LaPrincipessa you SAU! i stood up at 8. then off to offenbach, home. outside. sunshine. love you.",Not Suicide post,sau stood 8 offenbach home outside sunshine love
36,She is not tired.,Not Suicide post,tired
37,RT @tamicakeyona: Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post ,rt single mommy never part plan wake everyday shitð ªð ¾
38,"But what Bezos, de Blasio, and Cuomo have down is walked into our little lego town, kicked all of our lego towers aâ¦ https://t.co/WQqDasF7n4",Potential Suicide post ,bezos de blasio cuomo walked little lego town kicked lego towers aâ
39,I want money,Not Suicide post,want money
40,"@HeavenlyHev how was it, so I know what to expect?",Not Suicide post,know expect
41,Mmm mummy's culinary skills has been improving. Smells so good! i'm loving home cooked food!,Not Suicide post,mmm mummy culinary skills improving smells good loving home cooked food
42,i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post ,need put rest crashed motorcycle today know mostly fine beautiful moment life know sick think felt good see people approach help crash feeling body dragged bike several meters ground looking sky one song played earphonesi felt emptiness past yearsi want second chance want get broken bike bring speed one last time end want drown anymore please
43,Brushin' mah teef. Secularly.,Not Suicide post,brushin mah teef secularly
44,i'll be in london today. Wave if you see me,Not Suicide post,london today wave see
45,@PeoplemapsJulie I am looking for the berocca then all will be well,Not Suicide post,looking berocca well
46,@nellypt Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,Not Suicide post,thank thought pass around great day luv ur stuff
47,i wanna die. i donât deserve a piece of anything. i donât belong anywhere. iâm sick and tired of everything. the saâ¦ https://t.co/8hbfNffXii,Potential Suicide post ,wanna die donâ deserve piece anything donâ belong anywhere iâ sick tired everything saâ
48,I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body andâ¦ https://t.co/eXWykCGcrf,Potential Suicide post ,fucking hate whole family making feel fat done feeling bad body andâ
49,@meerajane I luv your blog too! Fashion is &lt;3,Not Suicide post,luv blog fashion lt 3
50,@Maddierawrk Sorry for your loss. This post gave me goosebumps because although I havenât thought of suicide your dâ¦ https://t.co/VNpWHS2zqu,Potential Suicide post ,sorry loss post gave goosebumps although havenâ thought suicide dâ
51,"@MarkusLarockus Ha ha I started something with the Rocquestar thing, didn't I??",Not Suicide post,ha ha started something rocquestar thing
52,"photoboth is black and white. and wayyyyy old. we call him Herbert lol. I love him, he's like a living legend. gotta love Berlin &lt;3",Not Suicide post,photoboth black white wayyyyy old call herbert lol love like living legend gotta love berlin lt 3
53,@ErikAbele The one we were looking out for?,Not Suicide post,one looking
54,he want to kill her.,Not Suicide post,want kill
55,u - understand what the fuck im doing wrong with my life,Potential Suicide post ,u understand fuck im wrong life
56,"@RachelStarrxxx AWWWWWW, i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES",Not Suicide post,really wish could give ya serious tlc rachel hun sending ya huge hugz kisses
57,Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes! http://tinyurl.com/cnnn6z,Not Suicide post,looking help testing prawn pdfs cucumber find prawn cucumber salad recipes
58,@JoannaButler he should tell them that his sister fixed it,Not Suicide post,tell sister fixed
59,"Something weird in that I couldn't stop thinking about him, couldn't sleep. Then out of some old papers a card I diâ¦ https://t.co/eITpOD1uAT",Potential Suicide post ,something weird stop thinking sleep old papers card diâ
60,"Congratulations, John! I'm a creepy actor, not a sweet actor",Not Suicide post,congratulations john creepy actor sweet actor
61,@fancyelastic He he! Thanks,Not Suicide post,thanks
62,in the photoshop,Not Suicide post,photoshop
63,@MizFitOnline normal workday for me. I do still have plans/aspirations to submit some info for the miz mag - honest i do.,Not Suicide post,normal workday still plans aspirations submit info miz mag honest
64,@noi27 Easy way is to go to MBK and get it hacked. @chuanjeng got a CN rom on his TH phone...,Not Suicide post,easy way go mbk get hacked got cn rom th phone
65,"@Farbelowaverag1,,And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please",Potential Suicide post ,dont want fucking anymore please someone fucking end know itll worse everyone fuck want please please someone kill please
66,"i'm tired,",Not Suicide post,tired
67,My Cullen family jewellery set arrived this morning! So happy!,Not Suicide post,cullen family jewellery set arrived morning happy
68,Getting ready to take kids to the farm,Not Suicide post,getting ready take kids farm
69,"@wolfiecomedy These boys might find it shocking that some internet stranger like myself would say ""fuck these guys""â¦ https://t.co/VNWeNO1cmv",Potential Suicide post ,boys might find shocking internet stranger like would say fuck guys â
70,@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Not Suicide post,ate candy cigarettes eat wax drank coke however eat candy lips
71,I damn near hate smoking by myself but sometimes I like it cause I canât finish blunts and I be having some for later.,Potential Suicide post ,damn near hate smoking sometimes like cause canâ finish blunts later
72,is going to get some cereallllllll will be living off Lucky Charms next week! WOOPWOOP!,Not Suicide post,going get cereallllllll living lucky charms next week woopwoop
73,"&quot;tagged as: punk, punk rock, pop punk, new york, more people should listen to this band &quot; http://www.last.fm/music/Get+Bent",Not Suicide post,quot tagged punk punk rock pop punk new york people listen band quot
74,@dianapmarez It's a great time in life! We can help you design an amazing wedding.,Not Suicide post,great time life help design amazing wedding
75,@vegale Wow! Wow! Good to hear,Not Suicide post,wow wow good hear
76,feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself ,Potential Suicide post ,feeling overwhelmed wanting die tried kill today wanted boyfriend help somehow since sees depression spiral says get better know currently feel trapped home friends constantly feel weak unmotivated desire sex partner tend find worst lately love things amplifies depression dont want die get hurt lonely overwhelmed one thought cant shake killing
77,Asking everyone to send out happy 'head-first' vibes to @cosmicgirlie,Not Suicide post,asking everyone send happy head first vibes
78,@kanter And waiting for sunrise in spring with an amazing colors,Not Suicide post,waiting sunrise spring amazing colors
79,"@Lady_Twitster Good so far thanks, hope yours will treat you well too",Not Suicide post,good far thanks hope treat well
80,@OliviaCosmetics ok then might not be for a while though?,Not Suicide post,ok might though
81,"Itâs only the 12th and I have completed 75% of my selling goal, IâM HAPPY ð",Not Suicide post,itâ 12th completed 75 selling goal iâ happy ð
82,"@EmisonNaomily but still,i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma justâ¦ https://t.co/5pBYOKbtRc",Potential Suicide post ,still highkey want dead f killed peach beck ugh candice back imma justâ
83,@mikeyway http://twitpic.com/2tu6p - take care guys..!!,Not Suicide post,take care guys
84,My whole family is so damn beautiful and Iâm the start of the ugly generation of it and I just hate myself so much I canât even express it,Potential Suicide post ,whole family damn beautiful iâ start ugly generation hate much canâ even express
85,"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book.",Not Suicide post,co workers guinea pigs lucky testing recipes ultimate cookie cook book
86,"Damn, i hate myself @EvoPvPServer",Potential Suicide post ,damn hate
87,@FrankDiElsi1 No I want him to get indicted &amp; watch the kids go to jail - I donât want him to die because the Trumpâ¦ https://t.co/BPMdXzujoo,Potential Suicide post ,want get indicted amp watch kids go jail donâ want die trumpâ
88,ok legit question can I fucking kill myself I'm 100% done with life,Potential Suicide post ,ok legit question fucking kill 100 done life
89,@willcarling How's the ski jumping going? Have you beat the missus yet?,Not Suicide post,ski jumping going beat missus yet
90,@lakezuriche I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,Potential Suicide post ,hope fucken change cause damn hate
91,Really good and helpful about the various Crisis in the DC Universe - I have read them all http://crisis2crisis.com/,Not Suicide post,really good helpful various crisis dc universe read
92,@EricBoehlert Nothing to live for? Why? Because you have been nasty?,Potential Suicide post ,nothing live nasty
93,had a lovely night with the best boyfriend and two very good friends,Not Suicide post,lovely night best boyfriend two good friends
94,my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally ,Potential Suicide post ,girlfriend left hate college direction life want go sleep never wake ive thinking suicide lot recently different methods reason havent done far much pussy access enough drugs overdose live near plenty tall buildings seeing therapist psychiatrist pills given exacerbated symptoms dont care leaving everything behind dont want hurt people around go living shit life others arent inconvenienced one days drunk enough finally pull trigger figuratively literally
95,@KateEdwards you dont have to bring anything - it's yr place #katesparty,Not Suicide post,dont bring anything yr place katesparty
96,Rosie: âdoes he think Iâm gonna be single forever?â,Potential Suicide post ,rosie â think iâ gonna single forever â
97,@codyks Chick-Fil-A = bonus.,Not Suicide post,chick fil bonus
98,@Fred0828 yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,Not Suicide post,yeah 16kg around 40lbs glad liked interview steve cotter quigong sucha valuable part training
99,@theosoft What do you want to know about MODx cms? Maybe I can help you,Not Suicide post,want know modx cms maybe help
100,"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",Not Suicide post,home school yay bad actually nice dinner graceeeeee
101,"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a damâ¦ https://t.co/7eRvPZ4rpS",Potential Suicide post ,im hoping stress level go aunt gone cant relax exhausted focus damâ
102,@ghostbusterz a friend i knew online from last night finally added me up on his messenger.,Not Suicide post,friend knew online last night finally added messenger
103,I jst sneezed twice. Me thinks there's at least one ghost in my house now.,Not Suicide post,jst sneezed twice thinks least one ghost house
104,@WANICULLEN Thanks Wani,Not Suicide post,thanks wani
105,@vanessawhite Haha Get all your Stress out x,Not Suicide post,haha get stress x
106,@_nanu_ just added a little more grist to the mill,Not Suicide post,added little grist mill
107,"@niki_dyer @marcorubio You want every vote counted no matter if the voter is dead, move to a different precinct, ouâ¦ https://t.co/nC8PdOqUvU",Potential Suicide post ,want every vote counted matter voter dead move different precinct ouâ
108,@yogadork our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,Not Suicide post,barefoot range great alternative need wear shoes allow foot move though barefoot
109,there are no perks of being this ugly i deserve an award or something at least if iâm gonna die alone,Potential Suicide post ,perks ugly deserve award something least iâ gonna die alone
110,RT @camphalfblood: Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jusâ¦,Potential Suicide post ,rt random commenter asked extreme social warrior agenda magnus chase calls extreme social jusâ
111,It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,Not Suicide post,tuesday work still riding high workout last night good day
112,So sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff hasâ¦ https://t.co/SDrCTy43V3,Potential Suicide post ,sad protect cats know whats ever bothering know stuff hasâ
113,Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post ,never war get terrible nightmares wake fighting life thisisus ptsd
114,Cool http://www.onlinemarktplatz.de/14177/twitter-fieber-bei-ebay/ ;_),Not Suicide post,cool _
115,ok that dinner rocked,Not Suicide post,ok dinner rocked
116,stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post ,stuck every time try kill cant go cant keep living feeling way cant let die
117,Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,Potential Suicide post ,damn hate type fast autocorrect changes go unnoticed smh ð ð ½â â ï
118,RT @sirpatricia: //shes doing her best https://t.co/tARP6gNDlu,Not Suicide post,rt shes best
119,@bobby_bobbles @snovvvhite live your best life,Not Suicide post,live best life
120,All I want is the truth.,Not Suicide post,want truth
121,@sandieb321 We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,Not Suicide post,fussy age long females 18 25 changed rules lol
122,Iâm just gonna go ahead and kill myself. Already done for the fucking day.,Potential Suicide post ,iâ gonna go ahead kill already done fucking day
123,i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha ,Potential Suicide post ,cannot wait mum fucking die wait die going lie train day foolow suiti cannot wait would kill able kill sooner two intimate relationship short kill guns forbiden country got knife brick cant bloody slow method cannot anything tonsils stink hate human stench forms except dashas shits hate body hate arteries nose lips saliva eyes hate human body except dashas one want fuck dasha
124,"@TaniaUncensored tania, i think you should get athene and the rest of the crew on twitter",Not Suicide post,tania think get athene rest crew twitter
125,@jackhii n i got yr pic posing in the server room ..,Not Suicide post,n got yr pic posing server room
126,Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,Not Suicide post,bye bye going sleep finally xdddd p
127,Working on a film. Have been busy. Have a nice day everyone,Not Suicide post,working film busy nice day everyone
128,i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post ,want die go commit suicide give injection unconconscious end nightmare life want die
129,I want to play with it.,Not Suicide post,want play
130,Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,Not Suicide post,thanks everyone sent work year pleased know planted 85 trees india profits x
131,this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,Potential Suicide post ,notice giving life n becoming alcoholic bc miserable n want die farewell ill drunk
132,New iPhone is completely updated Sun shining in Derry - tis a pretty day,Not Suicide post,new iphone completely updated sun shining derry tis pretty day
133,I want to be a doctor.,Not Suicide post,want doctor
134,"@TomFelton Cash in the Attic is OK, I prefer Homes Under the Hammer, haha I do love being off school...",Not Suicide post,cash attic ok prefer homes hammer haha love school
135,Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp; I what hapâ¦ https://t.co/Pqys3uWHkj,Potential Suicide post ,ill ride dawgs day end day already know streets take amp hapâ
136,i want her,Not Suicide post,want
137,"@FoxWhisperer Well compared to other areas west of us, I'll take our 50 degrees and run with it",Not Suicide post,well compared areas west us take 50 degrees run
138,"@inspireinspire aw, I am so jealous! ) please, take me with you",Not Suicide post,aw jealous please take
139,"@308Olsen,Blaine, MN,I dont want to be here anymore.",Potential Suicide post ,blaine mn dont want anymore
140,"Scared of death, tired of living.",Potential Suicide post ,scared death tired living
141,@tmotsenbocker @TheAcademic @judahandthelion Take it all back was so fun https://t.co/iewkzKosB8,Not Suicide post,take back fun
142,Ive had enough of life and the pain it causes,Potential Suicide post ,ive enough life pain causes
143,Omg the cringe I cant,Potential Suicide post ,omg cringe cant
144,@lilyroseallen i love your shh tattoo - did it hurt? i think i'm gonna get it,Not Suicide post,love shh tattoo hurt think gonna get
145,"@cgupi1,,RT @caringcorbyn: i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literallyâ¦",Potential Suicide post ,rt literally cant explain everything much happened dont wanna anymore wtf even point literallyâ
146,i want him,Not Suicide post,want
147,had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,Not Suicide post,juice box morning never know joy juice box bring one later life
148,She didn't want him to go out with other women,Not Suicide post,want go women
149,@adalinemusic you're welcome! It was a great way to be introduced to your music,Not Suicide post,welcome great way introduced music
150,@Cookieex3 awesome!! Can't wait to see it!!,Not Suicide post,awesome wait see
151,My heart is so crushed.,Potential Suicide post ,heart crushed
152,ooo apple store is down ... so close? Credit card ready,Not Suicide post,ooo apple store close credit card ready
153,youâve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,Potential Suicide post ,youâ changed fucking worse cant believe could really go back ur hard work like
154,"Not just because the House has NEVER had a Black woman in leadership, but becauseâ¦",Not Suicide post,house never black woman leadership becauseâ
155,@SUMMERWALKER hey Golden is here with me and just wanted to say Hi and have a great morning,Not Suicide post,hey golden wanted say hi great morning
156,Goooooood morning Twitter-World!,Not Suicide post,goooooood morning twitter world
157,@emilylagrange a revolution in household detergent introducing #kidscleaning get one now while stocks last,Not Suicide post,revolution household detergent introducing kidscleaning get one stocks last
158,everything that youâve ever dreamed of,Potential Suicide post ,everything youâ ever dreamed
159,@taylorchoi congrats!!!!! Ill def go and support the TC Media takeover,Not Suicide post,congrats ill def go support tc media takeover
160,Going to bed goodnightttttt!,Not Suicide post,going bed goodnightttttt
161,Going to school and enjoying my last day as a 16 year old but too,Not Suicide post,going school enjoying last day 16 year old
162,@pviktor Hmmm...not good...carrot juice and marmalade on toast may help?,Not Suicide post,hmmm good carrot juice marmalade toast may help
163,Im tired and sick of everything I wanna die ... https://t.co/w04RQCbvNV,Potential Suicide post ,im tired sick everything wanna die
